233.81 0 94.58 197.89 4.567 947.04 852.16 100
194.68 0 100.52 170.17 7.48 998 901.8 28
275.07 0 121.35 159.48 9.9 1053.6 777.5 3
289 0 0 192 0 913.2 895.3 7
310 143 0 168 10 914 804 28
182.04 45.21 121.97 170.21 8.19 1059.4 780.65 28
212 0 124.78 159 7.84 1085.4 799.54 3
339.2 0 0 185.7 0 1069.2 754.3 7
491 26 123 201 3.93 822 699 28
153 102 0 192 0 888 943.1 90
528 0 0 185 6.86 920 720 28
146.5 114.6 89.3 201.9 8.8 860 829.5 28
225 0 0 181 0 1113 833 7
424 22 132 178 8.48 822 750 7
251.81 0 99.94 146.14 12.35 1006 899.76 3
249.1 0 98.75 158.11 12.8 987.76 889.01 14
251.37 0 118.27 188.45 5.75 1028.4 757.73 28
275.07 0 121.35 159.48 9.9 1053.6 777.5 56
173.54 50.05 173.53 164.77 6.47 1006.2 793.5 28
362.6 189 0 164.9 11.6 944.7 755.8 28
218.85 0 124.13 158.49 11.33 1078.7 794.91 56
153.1 145 113 178.5 8 1001.9 688.7 28
145 116 119 184 5.7 833 880 28
475 0 59 142 1.9 1098 641 28
249.1 0 98.75 158.11 12.8 987.76 889.01 3
162 207 172 216 10 822 638 28
255 0 0 192 0 889.8 945 28
181.38 0 167.01 169.59 7.56 1055.6 777.8 28
425 106.3 0 153.5 16.5 852.1 887.1 7
251.37 0 118.27 188.45 5.75 1028.4 757.73 56
139.6 209.4 0 192 0 1047 806.9 28
200 133 0 192 0 965.4 806.2 28
385 0 0 186 0 966 763 14
155 0 143 193 9 1047 697 28
333 0 0 192 0 931.2 842.6 3
153 102 0 192 0 888 943.1 7
251.37 0 118.27 188.45 6.35 1028.4 757.73 28
380 95 0 228 0 932 594 365
310 143 111 168 22 914 651 28
139.7 163.9 127.7 236.7 5.8 868.6 655.6 28
212.57 0 100.39 159.35 10.37 1003.8 903.79 28
153.1 145 113 178.5 8 867.2 824 28
213.5 0 174.24 154.61 11.66 1052.3 775.48 100
475 118.8 0 181.1 8.9 852.1 781.5 56
153 145 113 178 8 1002 689 28
167.95 42.08 163.83 121.75 5.72 1058.7 780.11 56
238.05 0 94.11 186.66 7 949.91 847.01 56
286.3 200.9 0 144.7 11.2 1004.6 803.7 28
491 26 123 210 3.93 882 699 7
150 236.8 0 173.8 11.9 1069.3 674.8 28
190.68 0 125.4 162.14 7.77 1090 804.01 100
160.2 188 146.4 203.2 11.3 828.7 709.7 28
359 19 141 154 10.91 942 801 28
286.3 200.9 0 144.7 11.2 1004.6 803.7 56
251.81 0 99.94 146.14 12.35 1006 899.76 56
339 0 0 185 0 1069 754 28
228 342.1 0 185.7 0 955.8 674.3 7
158 0 195 220 11 898 713 28
374 189.2 0 170.1 10.1 926.1 756.7 28
220.8 147.2 0 185.7 0 1055 744.3 7
475 0 0 228 0 932 594 180
139.6 209.4 0 192 0 1047 806.9 3
277 0 0 191 0 968 856 360
374 189.2 0 170.1 10.1 926.1 756.7 56
153 239 0 200 6 1002 684 28
140 164 128 237 6 869 656 28
312.9 160.5 0 177.6 9.6 916.6 759.5 28
401.8 94.7 0 147.4 11.4 946.8 852.1 91
255 99 77 189 6 919 749 28
446 24 79 162 11.64 967 712 3
212 0 124.78 159 7.84 1085.4 799.54 14
309.9 142.8 111.2 167.8 22.1 913.9 651.2 28
166.09 0 163.27 176.46 4.49 1058.6 780.09 100
149 118 92 183 7 953 780 28
425 106.3 0 151.4 18.6 936 803.7 91
173.54 50.05 173.53 164.77 6.47 1006.2 793.5 14
349 0 0 192 0 1056 809 3
300 0 120 212 10 878 728 28
237.5 237.5 0 228 0 932 594 90
427.5 47.5 0 228 0 932 594 90
359 19 141 154 10.91 942 801 56
214.9 53.8 121.89 155.63 9.61 1014.3 780.58 28
229.97 0 118.31 195.47 4.63 1029.4 758.59 3
116 173 0 192 0 909.8 891.9 3
349 0 0 192 0 1047 806 3
277 0 0 191 0 968 856 3
277 0 0 191 0 968 856 90
339 0 0 197 0 968 781 28
531.3 0 0 141.8 28.2 852.1 893.7 28
181.38 0 167.01 169.59 7.56 1055.6 777.8 56
376 0 0 214.6 0 1003.5 762.36 3
296 0 0 186 0 1090 769 28
190.34 0 125.18 161.85 9.88 1088.1 802.59 3
183.9 122.6 0 203.5 0 959.2 800 3
362.6 189 0 164.9 11.6 944.7 755.8 7
255.3 98.8 77 188.6 6.5 919 749.3 28
356 0 142 193 11 801 778 28
102 153 0 192 0 887 942 3
425 106.3 0 153.5 16.5 852.1 887.1 3
300 0 0 184 0 1075 795 7
136 196 98 199 6 847 783 28
