162 214 164 202 10 820 680 28
136 162 126 172 10 923 764 28
167.35 129.9 128.62 175.46 7.79 1006.3 746.6 56
252 0 0 186 0 1111 784 7
166.09 0 163.27 176.46 4.49 1058.6 780.09 14
382 0 0 185 0 1047 739 28
313.3 262.2 0 175.5 8.6 1046.9 611.8 3
277.05 0 97.39 160.6 11.83 973.9 875.61 3
173 116 0 192 0 946.8 856.8 90
288 121 0 177 7 908 829 28
212 0 124.78 159 7.84 1085.4 799.54 28
212.52 0 100.37 159.32 8.71 1007.8 903.59 100
313.3 262.2 0 175.5 8.6 1046.9 611.8 91
331 0 0 192 0 879 825 3
236 0 0 194 0 968 885 90
266 114 0 228 0 932 670 180
332.5 142.5 0 228 0 932 594 7
190 190 0 228 0 932 670 365
296 0 107 221 11 819 778 28
170.3 155.5 0 185.7 0 1026.6 724.3 7
251.81 0 99.94 146.14 12.35 1006 899.76 14
331 0 0 192 0 1025 821 90
382 0 0 186 0 1047 739 7
203.5 305.3 0 203.5 0 963.4 630 28
439 177 0 186 11.1 884.9 707.9 91
446 24 79 162 11.64 967 712 3
166.8 250.2 0 203.5 0 975.6 692.6 3
252.5 0 0 185.7 0 1111.6 784.3 7
167.95 42.08 163.83 121.75 5.72 1058.7 780.11 3
381.4 0 0 185.7 0 1104.6 784.3 28
349 0 0 192 0 1047 806 360
266 114 0 228 0 932 670 270
159 149 116 175 15 953 720 28
213.5 0 174.24 154.61 11.66 1052.3 775.48 28
310 0 0 192 0 1012 830 90
284 15 141 179 5.46 842 801 3
212.07 0 121.62 180.31 5.69 1057.6 779.32 28
289 134 0 195 6 924 760 28
425 106.3 0 153.5 16.5 852.1 887.1 3
339 0 0 185 0 1060 754 28
427.5 47.5 0 228 0 932 594 28
315 137 0 145 5.9 1130 745 28
326.5 0 137.9 199 10.8 801.1 792.5 28
289 133.7 0 194.9 5.5 924.1 760.1 28
167 75.4 167 164.03 7.91 1007.3 770.1 56
236 0 0 193 0 968 885 365
374 0 0 190 7 1013 730 28
393 0 0 192 0 940.6 785.6 90
397 0 0 185.7 0 1040.6 734.3 28
266.2 112.3 87.5 177.9 10.4 909.7 744.5 28
313 0 0 178 8 1000 822 28
212.57 0 100.39 159.35 10.37 1003.8 903.79 100
225 0 0 181 0 1113 833 28
252.5 0 0 185.7 0 1111.6 784.3 28
238.2 158.8 0 185.7 0 1040.6 734.3 28
313.3 0 113 178.5 8 1001.9 688.7 28
250 0 95.69 191.84 5.33 948.9 857.2 100
231.75 0 121.62 173.96 6.72 1056.4 778.45 100
272.8 181.9 0 185.7 0 1012.4 714.3 7
151.6 0 111.9 184.4 7.9 992 815.9 28
200 200 0 190 0 1145 660 28
480 0 0 192 0 936.2 712.2 3
362.6 189 0 164.9 11.6 944.7 755.8 91
469 117.2 0 137.8 32.2 852.1 840.5 28
158.4 0 194.9 219.7 11 897.7 712.9 28
155 183 0 193 9 1047 697 28
141.3 212 0 203.5 0 971.8 748.5 90
250 0 0 182 0 1100 820 7
393 0 0 192 0 940 758 28
233.81 0 94.58 197.89 4.567 947.04 852.16 56
446 24 79 162 11.64 967 712 56
160 250 0 168 12 1049 688 28
525 0 0 189 0 1125 613 3
382.5 0 0 185.7 0 1047.8 739.3 7
375 93.8 0 126.6 23.4 852.1 992.6 3
425 106.3 0 153.5 16.5 852.1 887.1 56
389.9 189 0 145.9 22 944.7 755.8 56
375 0 0 186 0 1038 758 28
313.3 145 0 178.5 8 1001.9 688.7 28
339 0 0 197 0 968 781 3
193.5 290.2 0 185.7 0 998.2 704.3 7
155 0 143 193 9 877 868 28
387 20 94 157 13.93 938 845 28
190.34 0 125.18 161.85 9.88 1088.1 802.59 56
178.03 129.8 118.6 179.94 3.57 1007.3 746.8 3
296 0 0 192 0 1085 765 7
229.68 0 118.16 195.23 6.13 1028.1 757.63 3
165 0.02 143.57 163.81 0 1005.6 900.9 28
190.34 0 125.18 161.85 9.88 1088.1 802.59 28
157 236 0 192 0 935.4 781.2 90
446 24 79 162 11.61 967 712 28
397 0 0 185.7 0 1040.6 734.3 7
385 0 0 186 0 966 763 7
167 75.4 167 164.03 7.91 1007.3 770.1 100
167.95 42.08 163.83 121.75 5.72 1058.7 780.11 14
331 0 0 192 0 978 825 90
213.76 98.06 24.52 181.74 6.65 1066 785.52 56
251.37 0 118.27 192.94 5.75 1043.6 754.3 100
259.9 100.6 78.4 170.6 10.4 935.7 762.9 28
165 128.5 132.1 175.06 8.08 1005.8 746.6 3
251.37 0 118.27 188.45 6.35 1028.4 757.73 3
385 0 0 186 0 966 763 28
362.6 189 0 164.9 11.6 944.7 755.8 7
304 76 0 228 0 932 670 28
168.88 42.22 124.25 158.33 10.83 1080.8 796.15 28
342 38 0 228 0 932 670 270
194.68 0 100.52 165.62 7.48 1006.4 905.9 28
233.81 0 94.58 197.89 4.567 947.04 852.16 14
238.2 158.8 0 185.7 0 1040.6 734.3 7
231.75 0 121.62 173.96 6.72 1056.4 778.45 14
298 0 107 164 13 953 784 28
304 76 0 228 0 932 670 270
212 141.3 0 203.5 0 973.4 750 3
401.8 94.7 0 147.4 11.4 946.8 852.1 7
516 0 0 162 8.2 801 802 28
229.97 0 118.31 195.47 4.63 1029.4 758.59 100
222.36 0 96.67 189.29 4.46 967.08 870.32 100
249.1 0 98.75 158.11 12.8 987.76 889.01 28
322 149 0 186 8 951 709 28
178.03 129.8 118.6 179.94 3.57 1007.3 746.8 28
362.6 189 0 164.9 11.6 944.7 755.8 56
500 0 0 200 0 1125 613 7
366 187 0 191.3 6.6 824.3 756.9 28
237.5 237.5 0 228 0 932 594 365
172.38 13.61 172.37 156.76 4.14 1006.3 856.4 3
480 0 0 192 0 936.2 712.2 28
151 0 184 167 12 991 772 28
173.81 93.37 159.9 172.34 9.73 1007.2 746.6 56
182.04 45.21 121.97 170.21 8.19 1059.4 780.65 3
310 0 0 192 0 1012 830 7
143.8 136.3 106.2 178.1 7.5 941.5 774.3 28
325 0 0 184 0 1063 783 7
525 0 0 189 0 1125 613 90
446 24 79 162 11.64 967 712 28
316.1 210.7 0 185.7 0 977 689.3 7
239.6 359.4 0 185.7 0 941.6 664.3 7
334 17.6 158 189 15.3 967 633 28
362.6 189 0 164.9 11.6 944.7 755.8 28
135 105 193 196 6 965 643 28
250 0 95.69 191.84 5.33 948.9 857.2 3
251.37 0 118.27 188.45 6.35 1028.4 757.73 100
281 0 0 186 0 1104 774 28
295.71 0 95.64 171.54 8.87 955.14 859.2 56
323.7 282.8 0 183.8 10.3 942.7 659.9 56
446 24 79 162 10.3 967 712 28
300 0 0 184 0 1075 795 28
183.9 122.6 0 203.5 0 959.2 800 28
173.81 93.37 159.9 172.34 9.73 1007.2 746.6 100
500 0 0 140 4 966 853 28
254 0 0 198 0 968 863 3
213.5 0 174.24 154.61 11.66 1052.3 775.48 14
302 0 0 203 0 974 817 180
350 0 0 203 0 974 775 28
233.81 0 94.58 197.89 4.567 947.04 852.16 28
153 102 0 192 0 888 943.1 28
139.6 209.4 0 192 0 1047 806.9 360
393 0 0 192 0 940 758 90
500 0 0 200 0 1125 613 1
451 0 0 165 11.25 1030 745 28
290.35 0 96.18 168.08 9.41 961.18 865 14
